pos	set	sample	vartype	depth	supportfraction	basecalledfrequency
558	.primertrimmed	BC12_200x	snp	1198	0.969707	0.777124
573	.primertrimmed	BC12_200x	snp	1198	0.964202	0.91169
585	.primertrimmed	BC12_200x	snp	1185	0.952171	0.744323
603	.primertrimmed	BC12_200x	snp	1187	0.934218	0.819714
606	.primertrimmed	BC12_200x	snp	1159	0.944202	0.802022
666	.primertrimmed	BC12_200x	snp	409	0.958579	0.775362
705	.primertrimmed	BC12_200x	snp	399	0.915812	0.845411
792	.primertrimmed	BC12_200x	snp	363	0.968348	0.763285
819	.primertrimmed	BC12_200x	snp	416	0.950679	0.848193
825	.primertrimmed	BC12_200x	snp	413	0.952138	0.814458
840	.primertrimmed	BC12_200x	snp	410	0.902046	0.886747
924	.primertrimmed	BC12_200x	snp	397	0.964107	0.792771
954	.primertrimmed	BC12_200x	snp	402	0.924074	0.761446
957	.primertrimmed	BC12_200x	snp	393	0.958341	0.73012
1011	.primertrimmed	BC12_200x	snp	403	0.876223	0.807229
1089	.primertrimmed	BC12_200x	snp	401	0.959764	0.744578
1119	.primertrimmed	BC12_200x	snp	988	0.967941	0.725367
1227	.primertrimmed	BC12_200x	snp	928	0.971379	0.75162
1306	.primertrimmed	BC12_200x	snp	401	0.944016	0.792453
1308	.primertrimmed	BC12_200x	snp	416	0.959963	0.834906
1353	.primertrimmed	BC12_200x	snp	418	0.973008	0.688679
1395	.primertrimmed	BC12_200x	snp	422	0.945185	0.698113
1413	.primertrimmed	BC12_200x	snp	421	0.929655	0.849057
1464	.primertrimmed	BC12_200x	snp	414	0.977405	0.856132
1590	.primertrimmed	BC12_200x	snp	409	0.91281	0.721698
1632	.primertrimmed	BC12_200x	snp	414	0.860425	0.625
1650	.primertrimmed	BC12_200x	snp	947	0.970322	0.85
1857	.primertrimmed	BC12_200x	snp	390	0.948638	0.645933
1881	.primertrimmed	BC12_200x	snp	413	0.904724	0.763158
1890	.primertrimmed	BC12_200x	snp	395	0.936366	0.863309
1908	.primertrimmed	BC12_200x	snp	414	0.950631	0.884892
1912	.primertrimmed	BC12_200x	snp	419	0.892059	0.534772
1941	.primertrimmed	BC12_200x	snp	398	0.888285	0.764988
1942	.primertrimmed	BC12_200x	snp	393	0.863175	0.760192
1963	.primertrimmed	BC12_200x	snp	414	0.94047	0.829736
2806	.primertrimmed	BC12_200x	snp	390	0.963506	0.8
2925	.primertrimmed	BC12_200x	snp	359	0.957639	0.71358
3021	.primertrimmed	BC12_200x	invariant	386	0	0
3030	.primertrimmed	BC12_200x	invariant	378	0	0
